,City,Country,Lat,Lng,Hotel Name
315,autun,FR,46.95,4.3,Les Ursulines Hotel
316,lucapa,AO,-8.42,20.74,
317,rock sound,US,42.67,-89.07,Cobblestone Hotel & Suites - Janesville
318,wanning,CN,18.8,110.4,海南康乐园海航度假酒店
319,klaksvik,FO,62.23,-6.59,Eysturland Lodge
320,laguna,US,38.42,-121.42,Hilton Garden Inn Sacramento Elk Grove
321,vanimo,PG,-2.67,141.3,Sandaun Surf Hotel
322,cayenne,GF,4.93,-52.33,Royal Amazonia
323,vostok,RU,46.49,135.88,
324,nioro,GM,13.35,-15.75,
325,zarubino,RU,42.63,131.09,"Holiday Village ""SeaView"" Andreevka"
326,grand centre,US,38.88,-109.5,
327,wewak,PG,-3.55,143.63,In Wewak Boutique Hotel
328,barahona,DO,18.21,-71.1,Hotel Caribe
329,atyrau,KZ,47.12,51.88,Renaissance Atyrau Hotel
330,platanos,GR,37.67,21.62,Hotel Europa
331,nouadhibou,MR,20.93,-17.03,HOtel Tasiast
332,cherskiy,RU,68.75,161.3,
333,kahului,US,20.89,-156.47,Courtyard by Marriott Maui Kahului Airport
334,sungairaya,ID,0.7,108.9,
335,kushima,JP,31.46,131.23,Hotel Nakamurasō
336,eydhafushi,MV,5.1,73.07,Soneva Fushi
337,belem de sao francisco,BR,-1.46,-48.5,Hotel Grand Mercure Belém
338,elliot lake,ZA,-31.33,27.85,The Guardians Lodge
339,sturgeon bay,US,40.38,-80.21,
340,vagay,RU,57.94,69.02,
341,dalianwan,CN,39.03,121.69,Dalian Oak Chateau
342,husavik,IS,66.04,-17.34,Fosshotel Húsavík
343,vardo,NO,70.37,31.11,Vardø Hotel AS
344,puerto narino,ES,36.59,-6.23,Duques de Medinaceli
345,rio gallegos,GR,38.3,21.78,Airotel Achaia Beach
346,inhambane,MZ,-23.86,35.38,Sentidos Beach Retreat
347,iwanai,JP,42.97,140.51,いわない温泉 高島旅館
348,shimoda,JP,34.67,138.95,Hotel Izukyu
349,jalu,LY,29.03,21.55,Thuraya Tourist Hotel
350,chuy,UY,-33.7,-53.46,Hotel Internacional
351,port blair,CD,-7.03,29.76,
352,ulsteinvik,NO,62.34,5.85,Quality Hotel Ulstein
353,pore,CO,5.73,-71.99,hotel caminante del llano
354,egvekinot,RU,66.32,-179.17,
355,mys shmidta,RU,62.06,48.62,
356,alice springs,US,27.75,-98.07,Hampton Inn Alice
357,ilulissat,GL,69.22,-51.1,Hotel Arctic
358,lavrentiya,RU,65.58,-171.0,
359,salinas,US,36.68,-121.66,Hampton Inn & Suites Salinas
360,kalmar,SE,56.66,16.36,Castle hotel
361,kommunisticheskiy,RU,61.68,64.48,
362,bud,US,39.45,-86.18,
363,saint-denis,FR,48.92,2.33,Hyatt Regency Paris Étoile
364,shu,KZ,43.6,73.76,Гостиница Shu city
365,mitsamiouli,KM,-11.38,43.28,Moina Lisa
366,teberda,RU,43.45,41.74,Paradise apples
367,jilin,CN,43.0,126.0,Taifeng Hostel
368,portland,US,45.52,-122.68,Ace Hotel Portland
369,totolapan,MX,18.52,-96.18,
370,fairbanks,US,64.84,-147.72,
371,cockburn town,AU,-32.08,141.0,Coburn Hotel
372,norman wells,US,35.22,-97.44,Sooner Legends Inn & Suites
373,isilkul,RU,54.91,71.27,Hotel Ostrov
374,matara,LK,5.95,80.54,La Coral Beach Villa
375,lompoc,US,34.64,-120.46,SureStay Plus Hotel by Best Western Lompoc
376,sovetskiy,RU,61.36,63.58,Vel-Kom
377,krasnyy kut,RU,54.57,31.43,
378,okhotsk,RU,59.38,143.3,Prozhivaniye V Okhotske
379,isiro,CD,2.77,27.62,Hotel de l'Uele
380,tecoanapa,MX,16.52,-98.75,Hotel Garapacho
381,evensk,RU,61.95,159.23,
382,san pedro de macoris,ML,13.3,-4.9,Hôtel Teriya
383,touho,NC,-20.78,165.23,Auberge Timay Evasion
